ticker,education_name,matched_name,method,score
EUTR,Дорошенко Николай Николаевич,Дорошенко Николай Николаевич,exact,100.0
EUTR,Мартышов Игорь Юрьевич,Мартышов Игорь Юрьевич,exact,100.0
EUTR,Панкратьева Наталья Михайловна,Панкратьева Наталья Михайловна,exact,100.0
EUTR,Сафонов Олег Петрович,Сафонов Олег Петрович,exact,100.0
EUTR,Сигова Мария Викторовна,Сигова Мария Викторовна,exact,100.0
EUTR,Хазин Андрей Леонидович,Хазин Андрей Леонидович,exact,100.0
EUTR,Шемякин Борис Олегович,Шемякин Борис Олегович,exact,100.0
FEES,Краинский Даниил Владимирович,Краинский Даниил Владимирович,exact,100.0
FEES,Кулишов Григорий Викторович,Кулишов Григорий Викторович,exact,100.0
FEES,Ляпунов Евгений Викторович,Ляпунов Евгений Викторович,exact,100.0
FEES,Макаров Владимир Александрович,Макаров Владимир Александрович,exact,100.0
FEES,Мольский Алексей Валерьевич,Мольский Алексей Валерьевич,exact,100.0
FEES,Муров Андрей Евгеньевич,Муров Андрей Евгеньевич,exact,100.0
FEES,Новак Александр Валентинович,Новак Александр Валентинович,exact,100.0
FEES,Полинов Алексей Александрович,Полинов Алексей Александрович,exact,100.0
FEES,Рюмин Андрей Валерьевич,Рюмин Андрей Валерьевич,exact,100.0
FEES,Ульянов Антон Сергеевич,Ульянов Антон Сергеевич,exact,100.0
FEES,Харитонов Владимир Вячеславович,Харитонов Владимир Вячеславович,exact,100.0
FESH,Иванов Петр Валерьевич,Иванов Петр Валерьевич,exact,100.0
FESH,Плотников Юрий Олегович,Плотников Юрий Олегович,exact,100.0
FIVE,Ворона Иван Николаевич,Ворона Иван Николаевич,exact,100.0
FIVE,Лобачева Екатерина Владимировна,Лобачева Екатерина Владимировна,exact,100.0
FIVE,Мурашкин Андрей Игоревич,Мурашкин Андрей Игоревич,exact,100.0
FIVE,Шехтерман Игорь Владимирович,Шехтерман Игорь Владимирович,exact,100.0
FIXP,Кирсанов Дмитрий Николаевич,Кирсанов Дмитрий Николаевич,exact,100.0
FIXP,Миронова Елена,Миронова Елена,exact,100.0
FIXP,Погонин Владимир Петрович,Погонин Владимир Петрович,exact,100.0
FLOT,Вербо Александр Михайлович,Вербо Александр Михайлович,exact,100.0
FLOT,Тонковидов Игорь Васильевич,Тонковидов Игорь Васильевич,exact,100.0
FLOT,Франк Сергей Оттович,Франк Сергей Оттович,exact,100.0
GAZP,Акимов Андрей Игоревич,Акимов Андрей Игоревич,exact,100.0
GAZP,Аксютин Олег Евгеньевич,Аксютин Олег Евгеньевич,exact,100.0
GAZP,Зубков Виктор Алексеевич,Зубков Виктор Алексеевич,exact,100.0
GAZP,Илюхина Елена Анатольевна,Илюхина Елена Анатольевна,exact,100.0
GAZP,Кузнец Сергей Иванович,Кузнец Сергей Иванович,exact,100.0
GAZP,Куприянов Сергей Владимирович,Куприянов Сергей Владимирович,exact,100.0
GAZP,Максимцев Игорь Анатольевич,Максимцев Игорь Анатольевич,exact,100.0
GAZP,Мантуров Денис Валентинович,Мантуров Денис Валентинович,exact,100.0
GAZP,Маркелов Виталий Анатольевич,Маркелов Виталий Анатольевич,exact,100.0
GAZP,Марков Владимир Константинович,Марков Владимир Константинович,exact,100.0
GAZP,Мартынов Виктор Георгиевич,Мартынов Виктор Георгиевич,exact,100.0
GAZP,Меньшиков Сергей Николаевич,Меньшиков Сергей Николаевич,exact,100.0
GAZP,Миллер Алексей Борисович,Миллер Алексей Борисович,exact,100.0
GAZP,Михаленко Вячеслав Александрович,Михаленко Вячеслав Александрович,exact,100.0
GAZP,Новак Александр Валентинович,Новак Александр Валентинович,exact,100.0
GAZP,Патрушев Дмитрий Николаевич,Патрушев Дмитрий Николаевич,exact,100.0
GAZP,Путин Михаил Евгеньевич,Путин Михаил Евгеньевич,exact,100.0
GAZP,Россеев Михаил Николаевич,Россеев Михаил Николаевич,exact,100.0
GAZP,Садыгов Фамил Камиль оглы,Садыгов Фамил Камиль оглы,exact,100.0
GAZP,Середа Михаил Леонидович,Середа Михаил Леонидович,exact,100.0
GAZP,Симдякин Вадим Михайлович,Симдякин Вадим Михайлович,exact,100.0
GAZP,Хомяков Сергей Федорович,Хомяков Сергей Федорович,exact,100.0
GEMC,Вольский Владислав Михайлович,Вольский Владислав Михайлович,exact,100.0
GEMC,Лобанов Олег Валентинович,Лобанов Олег Валентинович,exact,100.0
GEMC,Минаков Георгий Викторович,Минаков Георгий Викторович,exact,100.0
GEMC,Тронин Андрей Владимирович,Тронин Андрей Владимирович,exact,100.0
GEMC,Шмелев Дмитрий Сергеевич,Шмелев Дмитрий Сергеевич,exact,100.0
GEMC,Яновский Андрей Владимирович,Яновский Андрей Владимирович,exact,100.0
GLTR,Абдулла Белобайда / Abdulla Belobaida,Абдулла Белобайда,exact,100.0
GLTR,Абдултайаб Бахрейнвала / Dr. Abdultaiyab Bahrainwala,Абдултайаб Бахрейнвала,exact,100.0
GLTR,Альбина Амангельдинова / Albina Amangeldinova,Альбина Амангельдинова,exact,100.0
GLTR,Вячеслав Станиславский / Viacheslav Stanislavskiy,Вячеслав Станиславский,exact,100.0
GLTR,Газизов Антон / Anton Gazizov,Газизов Антон,exact,100.0
GLTR,Джафар Борхан / Jaafar Borhan Jaafar,Джафар Борхан,exact,100.0
GLTR,Ержан Ниязалиев / Yerzhan Niyazaliyev,Ержан Ниязалиев,exact,100.0
GLTR,Жуслен Хейраллах / Jouslin Khairallah,Жуслен Хейраллах,exact,100.0
GLTR,Кайрат Итемгенов / Kairat Itemgenov,Кайрат Итемгенов,exact,100.0
GLTR,Руслан Изатов / Ruslan Izatov,Руслан Изатов,exact,100.0
GLTR,Стефан Хенрих / Stefan Henrich,Стефан Хенрих,exact,100.0
