ticker,name,yandex_count,is_ceo,source_positions,media_score
NKNC,Артур Гиззатуллин,623.0,False,"Первый заместитель генерального директора, главный инженер",55.903643236603706
ABIO,Деев Роман Вадимович,622.0,False,Член СД,55.88971238823874
GAZP,Марков Владимир Константинович,622.0,False,Член Правления,55.88971238823874
MVID,Андрей Скачек,621.0,False,Директор по маркетингу,55.87575916099129
ALRS,Григорьева Евгения Васильевна,619.0,False,Член СД,55.84778528143767
NKHP,Yuriy Alekseevich Medvedev,619.0,False,Director of Finance/CFO,55.84778528143767
LSNGP,Кутыева Екатерина Валерьевна,617.0,False,Член СД,55.81972101762509
AFLT,Песков Дмитрий Николаевич,615.0,False,Член СД,55.79156578359248
DVEC,Кабанова Лариса Владимировна,614.0,False,Член СД,55.777453868069706
YDEX,Вадим Петров,613.0,False,Генеральный директор Яндекс Лавки,55.76331898766207
YDEX,Константин Сидорков,611.0,False,Директор по работе с артистами,55.73498003236472
POLY,Steven Dashevsky,611.0,False,Independent Non-Executive Director,55.73498003236472
AKRN,Гавриков Владимир Викторович,610.0,False,Член СД,55.72077580664215
NLMK,Nikolay Ivanov,609.0,False,Director of Finance/CFO,55.7065483143642
MAGN,Исмаилов Рашид Рустам оглы,606.0,False,Член СД,55.66372547284926
RASP,Ольга Покровская,606.0,False,член совета директоров; финансовый советник,55.66372547284926
BELU,Купцов Сергей Александрович,604.0,False,Член СД,55.63505916929261
OGKB,Куликов Денис Викторович,603.0,False,независимый,55.6206904611463
OKEY,KONSTANTIN ARABIDIS,601.0,False,Independent Director,55.59188153890314
NKNC,Олег Иванович Макаров,601.0,False,Член совета директоров,55.59188153890314
VSMO,Мельников Александр Константинович,599.0,False,Заместитель директора по техническому обеспечению и ремонтам ВСМПО,55.56297674652578
TGKB,Пермякова Ольга Сергеевна,599.0,False,Правление: заместитель Председателя Правления (с 06.08.2024); заместитель генерального директора по экономике и финансам (с 01.08.2024),55.56297674652578
TRMK,Венде Франк-Детлеф,595.0,False,Независимый член Совета директоров ПАО «ТМК»,55.5048769841222
IRAO,Быстров Максим Сергеевич,592.0,False,Член СД,55.461045694673906
GAZP,Хомяков Сергей Федорович,592.0,False,Член Правления,55.461045694673906
ELFV,Тналин Алибек Айбекович,591.0,True,CEO,55.44638597458025
VKCO,Устинов Антон,589.0,False,Член Совета директоров МКПАО «ВК»; неисполнительный директор,55.416992098495804
MSRS,Gasan Gizbullagovich Gasangadzhiev,588.0,False,Director/Board Member,55.40225777419296
T,Алексей Владимирович Малиновский,586.0,False,Director/Board Member,55.37271392906455
PIKK,Ерванд Карапетян,585.0,True,член совета директоров; генеральный директор,55.35790423733754
DELI,Садовин Владимир Альбертович,581.0,False,Член СД,55.29841166164785
DVEC,Доланова Елена Федоровна,581.0,False,Член Ревизионной комиссии,55.29841166164785
AQUA,Марченко Андрей Александрович,577.0,False,Член СД,55.23850878909137
SGZH,Pavel Vakhnin,575.0,False,Chief Tech/Sci/R&D Officer,55.20840171529557
TGKB,Зайцев Михаил Владимирович,574.0,False,Член Совета директоров (избран 11.06.2024),55.19330895373328
AQUA,Погуляев Владислав Юрьевич,570.0,False,Член СД,55.13267427752398
KAZT,Бобровский Сергей Викторович,569.0,False,Член СД,55.11744923928108
EUTR,Хазин Андрей Леонидович,568.0,False,Член СД,55.10219746698013
RNFT,Vladimir Shcherbak,567.0,False,Director/Board Member,55.08691886656983
VTBR,Левыкин Владимир Дмитриевич,567.0,False,Член Правления Банка ВТБ (ПАО); руководитель Департамента стратегии и корпоративного развития,55.08691886656983
SBER,Vladimir Vladimirovich Kolychev,567.0,False,Director/Board Member,55.08691886656983
VSEH,Шмелева Мария Николаевна,565.0,False,Председатель Совета директоров ПАО «ВИ.ру»; неисполнительный директор; член Комитета по аудиту; руководитель юридического департамента ООО «ВсеИнструменты.ру»,55.05628080272664
WUSH,Литвина Анастасия Леонидовна,564.0,False,Корпоративный секретарь ПАО «ВУШ Холдинг»,55.04092114869114
DVEC,Дьяченко Ксения Юрьевна,559.0,False,Член Ревизионной комиссии,54.963712799488356
DELI,Бехтина Елена Александровна,559.0,True,CEO,54.963712799488356
