iteration,sample_size,unique_companies,status,reason
909,28,17,ok,
910,28,19,ok,
911,28,20,ok,
912,28,13,ok,
913,28,16,ok,
914,28,15,ok,
915,28,19,ok,
916,28,17,ok,
917,28,17,ok,
918,28,16,ok,
919,28,16,ok,
920,28,18,ok,
921,28,18,ok,
922,28,21,ok,
923,28,18,ok,
924,28,16,ok,
925,28,17,ok,
926,28,18,ok,
927,28,18,ok,
928,28,17,ok,
929,28,18,ok,
930,28,16,ok,
931,28,17,ok,
932,28,20,ok,
933,28,18,ok,
934,28,16,ok,
935,28,13,ok,
936,28,14,ok,
937,28,18,ok,
938,28,18,ok,
939,28,22,ok,
940,28,18,ok,
941,28,16,ok,
942,28,16,ok,
943,28,17,ok,
944,28,21,ok,
945,28,17,ok,
946,28,22,ok,
947,28,19,ok,
948,28,18,ok,
949,28,19,ok,
950,28,16,ok,
951,28,20,ok,
952,28,14,ok,
953,28,17,ok,
954,28,19,ok,
955,28,19,ok,
956,28,18,ok,
957,28,18,ok,
958,28,21,ok,
959,28,18,ok,
960,28,17,ok,
961,28,19,ok,
962,28,18,ok,
963,28,18,ok,
964,28,19,ok,
965,28,19,ok,
966,28,17,ok,
967,28,18,ok,
968,28,16,ok,
969,28,21,ok,
970,28,19,ok,
971,28,17,ok,
972,28,19,ok,
973,28,22,ok,
974,28,20,ok,
975,28,16,ok,
976,28,19,ok,
977,28,17,ok,
978,28,20,ok,
979,28,19,ok,
980,28,17,ok,
981,28,21,ok,
982,28,18,ok,
983,28,17,ok,
984,28,16,ok,
985,28,19,ok,
986,28,16,ok,
987,28,17,ok,
988,28,18,ok,
989,28,17,ok,
990,28,18,ok,
991,28,17,ok,
992,28,17,ok,
993,28,19,ok,
994,28,17,ok,
995,28,18,ok,
996,28,16,ok,
997,28,20,ok,
998,28,18,ok,
999,28,16,ok,
1000,28,17,ok,
1001,28,20,ok,
1002,28,20,ok,
1003,28,16,ok,
1004,28,15,ok,
1005,28,17,ok,
1006,28,15,ok,
1007,28,18,ok,
1008,28,18,ok,
1009,28,21,ok,
1010,28,20,ok,
1011,28,19,ok,
1012,28,17,ok,
1013,28,18,ok,
1014,28,19,ok,
1015,28,17,ok,
1016,28,19,ok,
1017,28,16,ok,
1018,28,18,ok,
1019,28,21,ok,
1020,28,20,ok,
1021,28,18,ok,
1022,28,17,ok,
1023,28,17,ok,
1024,28,19,ok,
1025,28,16,ok,
1026,28,16,ok,
1027,28,15,ok,
1028,28,21,ok,
1029,28,18,ok,
1030,28,21,ok,
1031,28,19,ok,
1032,28,18,ok,
1033,28,19,ok,
1034,28,21,ok,
1035,28,17,ok,
1036,28,18,ok,
1037,28,19,ok,
1038,28,17,ok,
1039,28,15,ok,
1040,28,17,ok,
1041,28,17,ok,
1042,28,14,ok,
1043,28,16,ok,
1044,28,18,ok,
1045,28,19,ok,
1046,28,18,ok,
1047,28,19,ok,
1048,28,19,ok,
1049,28,18,ok,
1050,28,17,ok,
1051,28,18,ok,
1052,28,19,ok,
1053,28,19,ok,
1054,28,21,ok,
1055,28,21,ok,
1056,28,19,ok,
1057,28,16,ok,
1058,28,18,ok,
1059,28,20,ok,
1060,28,21,ok,
1061,28,19,ok,
1062,28,17,ok,
1063,28,17,ok,
1064,28,19,ok,
1065,28,16,ok,
1066,28,20,ok,
1067,28,17,ok,
1068,28,17,ok,
1069,28,16,ok,
1070,28,19,ok,
1071,28,19,ok,
1072,28,18,ok,
1073,28,19,ok,
1074,28,19,ok,
1075,28,19,ok,
1076,28,14,ok,
1077,28,15,ok,
1078,28,19,ok,
1079,28,17,ok,
1080,28,16,ok,
1081,28,19,ok,
1082,28,19,ok,
1083,28,21,ok,
1084,28,16,ok,
1085,28,18,ok,
1086,28,18,ok,
1087,28,17,ok,
1088,28,18,ok,
1089,28,16,ok,
1090,28,17,ok,
1091,28,19,ok,
1092,28,16,ok,
1093,28,16,ok,
1094,28,17,ok,
1095,28,18,ok,
1096,28,19,ok,
1097,28,17,ok,
1098,28,19,ok,
1099,28,20,ok,
1100,28,16,ok,
1101,28,18,ok,
1102,28,18,ok,
1103,28,21,ok,
1104,28,18,ok,
1105,28,17,ok,
1106,28,16,ok,
1107,28,17,ok,
1108,28,18,ok,
1109,28,17,ok,
1110,28,16,ok,
1111,28,17,ok,
1112,28,18,ok,
1113,28,15,ok,
1114,28,19,ok,
1115,28,21,ok,
1116,28,18,ok,
1117,28,16,ok,
1118,28,18,ok,
1119,28,17,ok,
1120,28,16,ok,
1121,28,18,ok,
1122,28,21,ok,
1123,28,18,ok,
1124,28,18,ok,
1125,28,15,ok,
1126,28,16,ok,
1127,28,17,ok,
1128,28,16,ok,
1129,28,21,ok,
1130,28,18,ok,
1131,28,17,ok,
1132,28,17,ok,
1133,28,19,ok,
1134,28,16,ok,
1135,28,15,ok,
1136,28,16,ok,
1137,28,13,ok,
1138,28,17,ok,
1139,28,19,ok,
1140,28,17,ok,
1141,28,17,ok,
1142,28,15,ok,
1143,28,17,ok,
1144,28,21,ok,
1145,28,20,ok,
1146,28,18,ok,
1147,28,18,ok,
1148,28,21,ok,
1149,28,19,ok,
1150,28,20,ok,
1151,28,17,ok,
1152,28,18,ok,
1153,28,18,ok,
1154,28,19,ok,
1155,28,17,ok,
1156,28,19,ok,
1157,28,17,ok,
1158,28,15,ok,
1159,28,18,ok,
1160,28,20,ok,
1161,28,19,ok,
1162,28,16,ok,
1163,28,18,ok,
1164,28,16,ok,
1165,28,17,ok,
1166,28,17,ok,
1167,28,15,ok,
1168,28,18,ok,
1169,28,18,ok,
1170,28,17,ok,
1171,28,14,ok,
1172,28,17,ok,
1173,28,17,ok,
1174,28,18,ok,
1175,28,18,ok,
1176,28,21,ok,
1177,28,16,ok,
1178,28,17,ok,
1179,28,19,ok,
1180,28,19,ok,
1181,28,15,ok,
1182,28,18,ok,
1183,28,18,ok,
1184,28,17,ok,
1185,28,18,ok,
1186,28,18,ok,
1187,28,18,ok,
1188,28,18,ok,
1189,28,17,ok,
1190,28,18,ok,
1191,28,20,ok,
1192,28,17,ok,
1193,28,15,ok,
1194,28,17,ok,
1195,28,16,ok,
1196,28,17,ok,
1197,28,16,ok,
1198,28,19,ok,
1199,28,16,ok,
1200,28,18,ok,
1201,28,16,ok,
1202,28,18,ok,
1203,28,18,ok,
1204,28,18,ok,
1205,28,19,ok,
1206,28,17,ok,
1207,28,18,ok,
1208,28,17,ok,
1209,28,16,ok,
1210,28,17,ok,
1211,28,15,ok,
1212,28,18,ok,
1213,28,18,ok,
1214,28,16,ok,
1215,28,20,ok,
1216,28,21,ok,
1217,28,19,ok,
1218,28,19,ok,
1219,28,17,ok,
1220,28,18,ok,
1221,28,18,ok,
1222,28,20,ok,
1223,28,19,ok,
1224,28,20,ok,
1225,28,17,ok,
1226,28,20,ok,
1227,28,21,ok,
1228,28,13,ok,
1229,28,18,ok,
1230,28,20,ok,
1231,28,18,ok,
1232,28,18,ok,
1233,28,21,ok,
1234,28,19,ok,
1235,28,19,ok,
1236,28,18,ok,
1237,28,20,ok,
1238,28,19,ok,
1239,28,17,ok,
1240,28,18,ok,
1241,28,21,ok,
1242,28,17,ok,
1243,28,17,ok,
1244,28,19,ok,
1245,28,20,ok,
1246,28,18,ok,
1247,28,17,ok,
1248,28,20,ok,
1249,28,19,ok,
1250,28,18,ok,
1251,28,18,ok,
1252,28,19,ok,
1253,28,19,ok,
1254,28,20,ok,
