ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,rank_equal,rank_critic,rank_change_critic_minus_equal,absolute_rank_change
SVAV,58.883066806981354,0.0,46.47911431256175,,,,,,,,
SVCB,55.82064092734986,1.751309605361177,37.32562566189049,55.254736350476854,100.0,50.030462509015685,53.048027747357374,34.0,35.0,1.0,1.0
T,43.86225870025862,15.607870661332438,24.422623495155364,54.46404351827167,,,,,,,
TATN,54.84614738327621,0.0,30.72755109579753,54.78704876329161,100.0,48.07214944847307,51.108587748000645,44.0,47.0,3.0,3.0
TGKA,62.205622909759285,4.52706965701141,31.361556627279963,51.44830998814178,,,,,,,
TGKB,58.36109785586761,0.0,23.968459262128142,,100.0,,,,,,
TRMK,59.32079230841661,9.994667001328637,33.489527353148304,57.3289372939627,,,,,,,
TRNFP,60.41516902429244,5.219297764026946,20.243596592457468,48.10636029929555,100.0,46.79688473601448,49.8964543833726,51.0,53.0,2.0,2.0
TTLK,56.48078190982873,0.0,21.521653521822696,50.42160506777585,100.0,45.68480809988545,48.80966469358859,57.0,57.0,0.0,0.0
UGLD,58.39589481424799,0.0,29.81296067790671,43.90144459534519,100.0,46.42206001749998,49.83287927563186,53.0,54.0,1.0,1.0
UPRO,53.73144148380047,0.0,21.0822262318166,41.55587176494728,,,,,,,
VKCO,53.66915740744374,6.167393924629459,23.61100116520168,48.96664460340385,,,,,,,
VSEH,57.64722778214115,3.0356033159593734,19.50286490681875,45.37458417453547,100.0,45.11205603589095,48.50877278765687,59.0,58.0,-1.0,1.0
VSMO,50.4791434751196,4.5534049739390605,29.50728517620319,,,,,,,,
