scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight
1874,0.9320512820512818,0.7787698412698412,5.21875,19.0,0.6666666666666666,0.6146936980737612,0.4751124548897222,dirichlet_1,,
1875,0.8511904761904762,0.6617063492063492,7.875,29.0,0.42857142857142855,0.6997693720193748,0.4266527165989566,dirichlet_1,,
1876,0.966437728937729,0.8640873015873016,3.34375,22.0,0.5384615384615384,0.47725255336562594,0.4223381570432253,dirichlet_1,,
1877,0.39491758241758235,0.28075396825396826,15.5625,51.0,0.1111111111111111,1.095993731606323,0.7479968658031615,dirichlet_1,,
1878,0.9098901098901097,0.7470238095238095,6.03125,21.0,0.6666666666666666,0.4025843788229449,0.2787454567009871,dirichlet_1,,
1879,0.7972527472527471,0.617063492063492,9.25,29.0,0.5384615384615384,0.6307623946853461,0.4529886628528555,dirichlet_1,,
1880,0.8567307692307692,0.6944444444444444,7.15625,37.0,0.6666666666666666,0.9121466064946817,0.435377673770143,dirichlet_1,,
1881,0.654441391941392,0.4930555555555555,11.34375,48.0,0.3333333333333333,0.6958563328297079,0.526264317061585,dirichlet_1,,
1882,0.8404304029304028,0.6438492063492063,8.09375,27.0,0.3333333333333333,0.5022476353155578,0.38008522807229633,dirichlet_1,,
1883,0.8947802197802196,0.7589285714285715,5.90625,40.0,0.8181818181818182,0.6315592027760335,0.39616624962491964,dirichlet_1,,
1884,0.7764194139194137,0.6299603174603174,8.5625,58.0,0.42857142857142855,0.6644638790592012,0.4776245184229537,dirichlet_1,,
1885,0.8336996336996336,0.6626984126984127,7.875,48.0,0.5384615384615384,0.6867665781946255,0.4180285458297197,dirichlet_1,,
1886,0.9681776556776556,0.8511904761904763,3.5625,11.0,0.6666666666666666,0.6455081728694326,0.4879454148274723,dirichlet_1,,
1887,0.98507326007326,0.9027777777777778,2.46875,7.0,1.0,0.41698632676131686,0.4084931633806584,dirichlet_1,,
1888,0.9365384615384614,0.8015873015873015,4.84375,18.0,0.8181818181818182,0.4237577526785963,0.37576754112494665,dirichlet_1,,
1889,0.351007326007326,0.25396825396825395,16.0625,55.0,0.1111111111111111,0.9015814795144987,0.6507907397572493,dirichlet_1,,
1890,0.9273809523809523,0.7827380952380952,5.28125,21.0,0.6666666666666666,0.8609396196417112,0.5891993857676866,dirichlet_1,,
1891,0.9392857142857141,0.7896825396825398,5.15625,18.0,0.8181818181818182,0.6974619914397329,0.5259568623433949,dirichlet_1,,
1892,0.7192765567765567,0.5386904761904762,10.84375,51.0,0.3333333333333333,0.7778247512622387,0.5889123756311193,dirichlet_1,,
1893,0.779212454212454,0.6587301587301587,8.0,60.0,0.6666666666666666,0.8545479353328325,0.5667011176331153,dirichlet_1,,
1894,0.9577380952380952,0.8462301587301587,3.75,17.0,0.8181818181818182,0.7620716698123291,0.5810358349061645,dirichlet_1,,
1895,0.9387362637362635,0.7926587301587301,5.125,19.0,0.8181818181818182,1.010034120729233,0.7050170603646164,dirichlet_1,,
1896,0.8103479853479852,0.6279761904761905,8.25,30.0,0.6666666666666666,0.7333329182727496,0.4034566034692021,dirichlet_1,,
1897,0.8592948717948716,0.6716269841269841,7.40625,30.0,0.42857142857142855,0.4714807174633231,0.4167686149919037,dirichlet_1,,
1898,0.8722069597069595,0.7172619047619047,6.4375,47.0,0.6666666666666666,0.49320962138729424,0.32983661693364164,dirichlet_1,,
1899,0.8364468864468864,0.6785714285714285,7.6875,31.0,0.6666666666666666,0.7661272401943932,0.5693262049812053,dirichlet_1,,
1900,0.8544871794871794,0.6904761904761905,7.40625,24.0,0.6666666666666666,0.6620505997017023,0.5040075346020763,dirichlet_1,,
1901,0.7678113553113551,0.613095238095238,9.0,58.0,0.3333333333333333,0.8609301432738156,0.6304650716369077,dirichlet_1,,
1902,0.8197344322344321,0.6398809523809523,8.03125,40.0,0.25,0.8804114025231378,0.5391691349136192,dirichlet_1,,
1903,0.5916666666666666,0.42063492063492064,13.375,53.0,0.3333333333333333,1.0858401157247335,0.7429200578623667,dirichlet_1,,
1904,0.8393315018315018,0.6984126984126984,6.46875,51.0,0.5384615384615384,0.49462031803111983,0.4086624564934332,dirichlet_1,,
1905,0.779624542124542,0.6011904761904762,9.5625,31.0,0.5384615384615384,0.7639447994198871,0.5372837455144224,dirichlet_1,,
1906,0.7978479853479853,0.6279761904761905,8.6875,40.0,0.6666666666666666,0.7566917070638852,0.5783458535319427,dirichlet_1,,
1907,0.8493131868131867,0.7242063492063492,6.5,45.0,0.8181818181818182,0.7408445630577548,0.41620831521977114,dirichlet_1,,
1908,0.7759157509157509,0.6359126984126984,8.34375,52.0,0.6666666666666666,0.6134916006472083,0.39263322268927625,dirichlet_1,,
1909,0.9158424908424907,0.7817460317460316,5.1875,33.0,0.42857142857142855,0.339228984918892,0.3492113663425556,dirichlet_1,,
1910,0.9712454212454211,0.876984126984127,3.03125,22.0,1.0,0.21704012193612904,0.27645379181421326,dirichlet_1,,
1911,0.7375457875457875,0.5674603174603174,9.8125,51.0,0.42857142857142855,0.7149086842561686,0.41700292370508035,dirichlet_1,,
1912,0.8922619047619046,0.7509920634920634,5.71875,39.0,0.6666666666666666,0.4332314971169625,0.3990125827622915,dirichlet_1,,
1913,0.8560897435897435,0.673611111111111,7.53125,26.0,0.3333333333333333,0.6816557978543915,0.3747182056891368,dirichlet_1,,
1914,0.5084706959706959,0.37103174603174605,14.25,51.0,0.3333333333333333,0.8623292492195469,0.539234423934828,dirichlet_1,,
1915,0.7402930402930402,0.5357142857142857,10.59375,30.0,0.25,0.678391861841809,0.3700087005640034,dirichlet_1,,
1916,0.6956959706959707,0.5486111111111112,10.0625,60.0,0.3333333333333333,0.9893167370393241,0.6946583685196621,dirichlet_1,,
1917,0.8793040293040291,0.7202380952380951,6.5625,34.0,0.6666666666666666,0.5346793688908063,0.4035866871733993,dirichlet_1,,
