ticker,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024
LSRG,"ПАО ""ГРУППА ЛСР""",20,Деятельность холдинговых компаний,LSRG,,,185146000.0,45869000.0,249948000000.0,302836000000.0,116228000000.0,167543000000.0,0.2268,0.0348,655.4,835.4,78.0,0.39,828.8,644.6,78.0,-0.13,0,0,0.465007658,0.553244853,0.00074074,0.000151465,26.244518733173656,
MAGN,"ПАО ""ММК""",33,Производство листового горячекатаного стального проката,MAGN,,,371922000000.0,365062000000.0,804138000000.0,790818000000.0,201699000000.0,166521000000.0,0.1125,0.0264,52.76,39.195,2.494,-0.21,38.14,28.55,0.0,-0.25,0,0,0.250826188,0.210567834,0.46250999,0.461625805,27.413036733187656,
MBNK,"ПАО ""МТС-Банк""",32,Денежное посредничество прочее,MBNK,6122.0,5937.0,13477000000.0,15724000000.0,602500000000.0,7545000000000.0,,,,,,1311.5,89.31,,1282.5,1322.5,96.12,0.11,0,0,,,0.02236846,0.002084029,27.12435350231122,8.719644119505357
MDMG,"МКПАО ""МД Медикал Груп""",19,Деятельность холдинговых компаний,MDMG,9676.0,13388.0,28315258000.0,36332557000.0,39000000000.0,49600000000.0,0.0,0.0,0.255,0.217,809.0,899.1,205.0,0.36,901.4,1519.0,89.0,0.78,0,0,0.0,0.0,0.72603226,0.73251123,24.386827483076058,9.177403871729918
MGNT,"ПАО ""МАГНИТ""",22,Аренда и управление собственным или арендованным торговым объектом недвижимого имущества,MGNT,4500.0,36.0,541016000.0,499061000.0,307786000000.0,597571000000.0,99658487000.0,384088000000.0,0.2102,0.0118,7187.0,5092.0,412.13,-0.23,5016.5,3012.0,0.0,-0.4,0,0,0.323792014,0.642749375,0.00175777,0.000835149,26.452670573236187,8.411832675758411
MGTSP,ПАО МГТС,143,Деятельность в области связи на базе проводных технологий,MGTSP,4357.0,3853.0,45756000000.0,52969000000.0,191700000000.0,227500000000.0,0.0,1350000000.0,0.128,0.126,1328.0,838.0,0.0,-0.37,838.0,800.0,0.0,-0.05,0,0,0.0,0.005934066,0.23868545,0.232830769,25.97919748699801,8.379539026117442
MOEX,ПАО Московская Биржа,14,Управление финансовыми рынками,MOEX,3330.0,3734.0,9556000000.0,10075400000.0,12093000000000.0,13028000000000.0,,,0.007,0.004,195.4,199.22,26.11,0.15,194.83,173.3,19.57,-0.01,1,1,,,0.00079021,0.000773365,30.123647888731686,8.110727582974489
MRKC,"ПАО ""РОССЕТИ ЦЕНТР""",21,Передача электроэнергии,MRKC,26387.0,,123932000000.0,132354000000.0,158218000000.0,170863000000.0,93238966000.0,98547011000.0,0.0508,0.0617,0.5698,0.477,0.0676,-0.04,0.4718,0.88,0.0385,0.95,1,1,0.589305159,0.576760946,0.78329645,0.774622335,25.787239665832793,10.18062674361135
MRKP,"ПАО ""РОССЕТИ ЦЕНТР И ПРИВОЛЖЬЕ""",19,Передача электроэнергии,MRKP,20010.0,,138050000000.0,156708000000.0,195040000000.0,218541000000.0,87284814000.0,93648259000.0,0.0724,0.11,0.3157,0.3457,0.0502,0.25,0.3428,0.554,0.0725,0.83,1,1,0.447522613,0.42851567,0.70780225,0.717063345,25.996470502679372,9.903987427577778
MRKU,"ПАО ""РОССЕТИ УРАЛ""",21,Передача электроэнергии,MRKU,,,93582469000.0,104149000000.0,123934000000.0,141540000000.0,61596369000.0,66671343000.0,0.1229,0.1188,0.373,0.3436,0.0758,0.12,0.3368,0.4846,0.0612,0.62,1,1,0.497007532,0.471041001,0.75509633,0.735823718,25.543015002787325,
